Date,Punjab,Haryana,Rajasthan,Delhi,UP,Uttarakhand,HP,J&K(UT) & Ladakh(UT),Chandigarh,Chhattisgarh,Gujarat,MP,Maharashtra,Goa,Andhra Pradesh,Telangana,Karnataka,Kerala,Tamil Nadu,Puducherry,Bihar,DVC,Jharkhand,Odisha,West Bengal,Sikkim,Arunachal Pradesh,Assam,Manipur,Meghalaya,Mizoram,Nagaland,Tripura
01-01-20,6203,6808,13128,5149,16894,2088,1692,2755,306,3767,15676,14498,21162,508,8561,10347,11660,3716,13703,349,4656,3090,1391,3697,6255,129,109,1358,211,363,102,127,231
02-01-20,6057,6453,13711,5210,16987,2114,1722,2792,293,3509,14523,13575,19706,476,8657,10253,11590,3560,11770,317,4424,3060,1281,3620,6009,120,117,1264,193,379,98,121,220
03-01-20,6176,6648,13670,4690,15989,2110,1668,2824,260,3447,15253,12262,20369,490,8414,10359,11995,3751,14048,348,4556,3078,1305,3658,6062,130,116,1382,195,361,97,126,225
04-01-20,6228,6937,13864,4728,15709,2081,1750,2680,276,3332,15469,12778,20224,516,8433,9921,12173,3732,14435,366,4252,3071,1295,3475,5775,137,121,1304,210,363,111,124,207
05-01-20,6159,6900,13658,4215,15743,2102,1635,2934,246,3414,15441,12714,20301,491,8004,9618,12205,3654,14397,351,4258,3043,1232,3534,5978,123,123,1343,215,368,106,128,218
06-01-20,5484,6308,13146,4182,15637,2008,1614,2538,227,3449,15059,12702,19648,410,8042,9597,11072,3432,12672,324,4299,2945,1310,3477,5550,111,122,1260,183,356,112,128,224
07-01-20,5440,6566,13442,4341,15303,2106,1665,2650,274,3572,15734,13347,21200,500,7842,10103,11658,3751,14111,367,4483,3048,1336,3661,6081,144,117,1382,203,377,103,128,217
08-01-20,5698,6570,13672,4338,15897,2086,1688,2389,275,3553,15651,13747,21596,591,7668,10851,11770,3725,13878,357,4320,3074,1309,3687,6327,142,122,1376,205,366,105,126,226
09-01-20,5748,6531,12950,4282,14413,2153,1608,2696,278,3597,15183,12574,21599,493,7990,10744,11803,3335,14372,327,4457,3142,1333,3533,5533,149,114,1312,201,372,100,128,217
10-01-20,6000,6596,13495,4586,15452,1993,1613,2551,282,3439,15139,12896,20959,496,8193,10918,12305,3717,14333,347,4312,3104,1408,3559,6143,142,118,1363,206,382,105,123,219
11-01-20,5925,6742,13706,4802,16273,2149,1671,2515,287,3389,15204,13317,21202,511,8521,10570,12458,3616,14419,359,4472,3061,1351,3574,6266,140,119,1371,204,377,104,124,226
12-01-20,5857,6522,13560,4522,16528,2183,1661,2370,259,3460,15957,13525,21650,496,8372,10829,12284,3471,14212,358,4461,3110,1353,3630,6091,161,124,1356,213,390,105,127,221
13-01-20,5449,5763,13669,4262,16071,1999,1595,2370,243,3439,15923,13741,21173,430,8624,10432,11295,3191,13063,324,4505,3094,1297,3560,5762,119,126,1303,208,390,105,127,217
14-01-20,5256,6348,12415,4392,16534,2132,1695,2031,270,3620,15622,13916,22084,613,8832,10664,12343,3562,14329,356,4597,3120,1209,3736,6167,136,120,1352,213,394,102,127,229
15-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-01-20,5815,6653,13389,4500,14865,2183,1683,2284,280,3698,13276,13833,22351,482,8230,10281,12700,3518,11861,291,4470,3188,1372,3836,6286,128,113,1212,218,363,101,126,211
17-01-20,5829,6500,12650,4361,14548,2145,1699,2479,276,3656,14908,11700,21823,484,8085,10367,12678,3577,10650,260,4515,3123,1308,3619,6429,130,121,1295,217,372,104,132,219
18-01-20,5868,6575,12857,4590,15494,1998,1682,2614,288,3689,15466,12464,21302,480,8597,10677,13169,3608,11660,271,4164,3328,1294,3940,6276,134,124,1326,210,372,103,126,224
19-01-20,5660,6411,12764,4256,15744,2082,1694,2317,258,3624,15611,12701,21477,488,8441,10839,12309,3569,12272,325,4334,3092,1298,3682,6385,140,122,1364,216,394,104,125,220
20-01-20,5647,5828,13193,4566,15218,2053,1656,2299,242,3576,15239,12603,21473,442,8814,10667,12252,3410,12149,289,4403,3098,1267,3667,5706,117,118,1245,213,362,102,118,278
21-01-20,5706,6668,13279,4548,16017,2166,1759,2573,272,3593,15607,13149,22251,504,8978,10871,12531,3746,13978,353,4519,3090,1308,3656,6314,126,115,1331,205,380,117,126,223
22-01-20,5567,6655,13716,4442,16275,2194,1746,2645,266,3719,15547,13764,22466,500,8987,11045,12176,3723,14256,352,4556,3115,1323,3670,6717,129,112,1382,186,376,108,119,226
23-01-20,5701,6617,13387,4604,15979,2179,1743,2492,274,3802,15433,13577,22404,498,9017,10989,12113,3761,14461,352,4662,3115,1342,3774,6585,124,118,1367,182,376,108,126,221
24-01-20,5682,6640,13553,4382,15646,2157,1704,2390,268,3753,15913,13818,22723,533,9169,11069,12149,3796,14427,373,4650,3182,1372,5127,6421,144,120,1359,201,381,112,129,216
25-01-20,5878,6746,13744,4613,16290,2195,1757,2479,268,3789,16069,14132,22698,503,8968,11097,12360,3737,14498,364,4500,3056,1324,3772,6362,193,121,1391,215,379,109,127,217
26-01-20,5880,6668,13886,4267,16474,2104,1687,2533,245,3828,15883,14260,22550,497,9052,10957,12204,3541,14248,343,4476,3059,1304,3774,6188,189,123,1355,220,390,103,127,218
27-01-20,4962,6280,13298,3729,15938,1901,1511,2266,226,3742,14584,13882,20031,433,8914,10367,11282,3221,12574,291,4651,3122,1267,3763,5676,145,122,1255,210,362,102,128,218
28-01-20,5663,6472,13578,4191,15962,2024,1549,2641,243,3819,15925,14522,22876,480,9068,10872,12138,3706,14356,357,4563,3257,1266,3803,6531,140,130,1362,205,364,114,132,220
29-01-20,5436,6210,13781,4225,15073,1942,1549,2483,262,3789,16189,14712,22975,487,9371,11200,12378,3680,14719,365,4456,3322,1325,3830,6549,146,137,1373,217,377,126,116,224
30-01-20,5565,6224,13619,4323,14969,2002,1578,2335,267,3727,15406,14541,22785,510,9245,11359,12394,3755,14370,375,4381,3265,1227,4022,6270,142,119,1370,212,374,104,124,223
31-01-20,5595,6357,13733,4079,15497,2208,1714,2404,264,3826,15590,14118,22417,485,9605,11300,12745,3716,14537,358,4367,3293,1299,3803,6430,126,119,1351,181,373,110,115,234
01-02-20,5790,6402,13835,4401,15359,2169,1786,2456,270,3802,15798,14424,22324,470,9480,11226,12685,3669,14558,365,4280,3137,1249,3694,6370,129,126,1347,217,369,106,125,222
02-02-20,5804,6291,13796,4006,15176,2100,1742,2603,245,3792,15562,14444,21830,534,9299,10994,12311,3585,14246,365,4212,2924,1233,3810,6224,136,125,1345,215,372,109,129,244
03-02-20,5366,5921,13526,4188,15680,2021,1618,2634,230,3741,15306,14497,21823,425,9112,10414,11693,3345,12903,321,4285,2958,1255,3768,5717,123,124,1328,204,356,102,121,228
04-02-20,5912,6338,13830,4223,15964,2097,1712,2349,262,3788,15921,14785,22649,482,9225,10767,12381,3618,14383,358,4415,3084,1251,4009,6348,136,121,1382,210,385,105,127,223
05-02-20,5918,6478,14088,4083,15903,2151,1737,2626,263,3753,15786,14329,22722,481,8953,11110,12369,3660,14330,370,4423,3057,1342,3841,6444,124,125,1383,216,378,108,122,226
06-02-20,6274,6700,13913,4129,16241,2183,1702,2646,269,3477,15541,14324,22638,482,9268,11455,12389,3719,14415,369,4450,3213,1299,3643,6339,145,129,1405,214,386,106,120,225
07-02-20,6298,6744,14209,4193,16597,2178,1702,2696,259,3594,15857,14555,22853,490,9336,11449,12732,3777,14474,373,4485,3161,1326,3893,6489,137,125,1378,195,385,111,121,224
08-02-20,6280,6895,14198,4434,16191,2233,1732,2508,267,3313,15885,14555,22086,458,9304,11527,12618,3676,14746,368,4435,3166,1287,3911,6389,135,124,1359,194,386,108,116,223
09-02-20,6434,6643,14085,3687,16627,2127,1741,2572,241,3238,15853,14592,21792,463,9226,11278,12615,3497,14557,364,4412,3124,1319,4235,6292,140,120,1385,207,386,106,125,229
10-02-20,5872,6567,13831,4323,15709,2003,1593,2520,210,3282,15204,14510,21379,407,9077,9007,11302,3373,13092,330,4227,3105,1284,4476,5766,120,119,1290,138,355,107,125,215
11-02-20,6429,6899,13864,4052,16488,2067,1667,2578,255,3490,15695,14399,22537,486,9130,9867,12169,3730,14368,371,4446,3269,1308,4198,6393,132,122,1413,153,372,104,126,223
12-02-20,6542,7300,14113,4098,16326,2130,1643,2551,245,3609,16051,14667,22953,579,9057,10373,11918,3788,14469,367,4450,3448,1278,4064,6202,131,120,1370,212,386,105,126,226
13-02-20,7041,7342,14168,4149,16113,2156,1674,2266,257,3693,15641,14578,23225,574,9117,10781,12342,3841,14704,377,4229,3148,1276,4015,6509,127,117,1365,213,360,101,130,223
14-02-20,6751,7224,13864,3938,15684,2085,1615,2295,244,3743,16037,14564,23145,577,9213,10712,12577,3858,14595,377,4219,3270,1286,4281,6505,131,118,1345,210,378,101,129,231
15-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-02-20,6138,6323,13784,3813,14671,1849,1474,2442,201,3828,15622,14083,22051,438,9496,11783,11438,3580,13019,322,4087,3176,1314,3964,6251,123,121,1386,210,371,99,131,221
18-02-20,6421,6767,13812,3718,15003,1933,1632,2385,228,3877,16499,14374,23657,491,9708,12137,12485,3829,14358,368,3987,3171,1168,3804,7114,132,116,1349,202,393,93,136,222
19-02-20,6312,6967,14001,3816,15119,1977,1589,2599,232,3962,16024,14301,24031,503,9562,12783,12486,3830,14728,365,3831,3136,1392,3864,6959,144,121,1388,205,380,95,129,220
20-02-20,6173,6987,13629,3827,14940,1989,1245,2296,233,3937,16063,14263,24550,516,9817,12976,12797,3732,14819,375,4179,3112,1276,3840,6644,130,122,1368,208,375,98,128,218
21-02-20,5526,6414,13615,3693,14500,1951,1599,2413,227,4008,16392,14297,24110,538,9754,12741,12642,3647,14781,372,4136,3214,1212,3874,6575,129,121,1360,203,355,93,129,224
22-02-20,5310,6032,13730,4141,13034,1738,1544,2499,224,4026,15652,14184,23511,477,9936,12743,13001,3609,14508,375,4042,3121,1243,3636,6754,129,119,1359,199,361,91,129,223
23-02-20,5914,6099,13627,3592,13115,1884,1571,2414,205,3990,16244,13449,23637,499,9616,12454,12207,3738,14418,353,3774,3166,1250,3917,6669,123,116,1385,189,373,89,124,225
24-02-20,5674,5697,13363,3561,13287,1797,1511,2432,190,3912,15876,13172,22928,443,9580,12336,11984,3576,13107,326,3735,3131,1223,3763,6109,112,112,1310,184,370,103,119,234
25-02-20,5893,6064,13765,3587,13462,1904,1607,2400,220,3583,16529,13253,24323,510,9661,12769,12468,3823,14824,361,3937,3167,1243,3721,6412,119,116,1399,189,326,98,124,231
26-02-20,6184,6210,13916,4225,13392,1919,1662,2488,215,3387,16112,13247,23543,510,9941,13040,12715,3885,14923,390,3436,3156,1043,3867,5935,117,120,1341,197,347,97,125,245
27-02-20,6256,6162,13965,3563,13815,1884,1650,2441,219,3501,15700,13234,23599,513,9914,12963,12596,3870,14863,390,3847,3020,1204,3791,6497,113,120,1210,196,343,105,125,235
28-02-20,6083,6063,13915,3461,13967,1901,1631,2222,219,3679,15921,13222,23759,519,9954,12810,12751,3964,14784,377,3912,3007,1268,3559,6101,115,120,1343,201,341,104,134,221
29-02-20,5609,6063,13961,3599,13625,1936,1668,2324,211,3781,16452,13492,23737,516,9778,13168,12876,3856,15128,371,3847,3038,1300,3661,6381,122,120,1347,196,333,98,137,219
01-03-20,4846,5680,13486,3322,12989,1865,1555,2188,218,3765,16538,13371,23142,599,9818,13013,12692,3753,14691,371,3937,3062,1346,3742,6373,157,124,1365,187,347,93,128,226
02-03-20,4915,5020,12528,3326,13061,1722,1502,2342,204,3793,15532,11564,22012,599,9762,12458,11770,3673,13599,328,3869,3038,1257,3728,6143,160,113,1322,185,315,90,122,222
03-03-20,5444,5941,13285,3310,13628,1798,1642,2401,185,3910,16462,11531,22839,523,9750,12741,11745,3930,14799,368,3878,3029,1284,3829,6531,163,118,1320,190,335,101,114,230
04-03-20,5594,6120,13448,3406,13860,1863,1650,2724,211,3963,16482,11997,23294,526,9903,12941,12289,3833,15130,383,4037,3066,1179,3837,6305,153,126,1196,178,338,100,118,224
05-03-20,5426,5853,13381,3457,12770,1860,1639,2407,212,3758,15860,12111,23251,524,10005,12658,12230,3860,15502,395,4018,2955,1120,3518,6283,154,119,1348,200,359,101,124,231
06-03-20,5128,5245,12307,3475,13181,1801,1601,2606,209,3756,16147,12058,23583,473,9982,12667,12703,3834,15286,383,4004,2974,1319,3721,6354,143,122,1367,202,364,98,124,225
07-03-20,4749,4695,8918,3682,10994,1612,1602,2249,218,3853,15833,11927,23493,498,9790,12452,12753,3870,15242,397,3612,2873,1184,3622,6535,107,124,1314,192,364,101,127,224
08-03-20,4841,5415,10542,3517,13388,1765,1656,2329,204,3384,15818,11537,23287,493,8950,12105,12576,3745,14749,392,3807,2936,1180,3614,6300,113,121,1361,197,349,106,127,223
09-03-20,4846,4703,11159,3427,12961,1892,1612,2289,190,3619,15557,11427,22251,441,8760,11301,11923,3694,13183,331,3814,2892,1253,3677,5884,99,125,1276,178,326,105,128,220
10-03-20,4902,4800,11511,3524,12524,1748,1559,2651,205,3687,15183,11738,23719,490,9136,10981,13003,3838,15008,367,3717,2935,1223,3825,5573,97,112,1320,172,346,99,109,225
11-03-20,3903,4032,10319,2292,10920,1236,1116,2274,162,2711,12267,10143,19785,398,9112,11138,12753,3963,14596,341,3493,2651,1223,3653,5606,88,112,1219,186,323,103,108,221
12-03-20,4279,4414,10241,3121,11654,1450,1369,2547,197,3477,13837,10379,22751,501,9496,11806,12785,3945,15297,395,3667,2766,1157,3977,6375,107,126,1345,192,375,100,129,226
13-03-20,4603,5155,10958,3419,12996,1607,1401,2149,208,3721,15067,10397,23089,485,9694,11856,12845,4015,15248,401,4053,2777,1175,3766,6982,124,118,1401,180,376,101,122,234
14-03-20,4630,5383,11435,3493,11000,1643,1373,2304,213,3517,15431,10611,23217,467,9589,11719,13030,3975,15392,396,3625,2853,1214,4041,7336,116,125,1421,178,381,93,124,247
15-03-20,4869,5456,12099,3306,13050,1750,1534,2130,192,3527,15685,10192,22558,467,9809,11813,12546,3926,15019,387,3380,2858,1071,3994,6508,147,121,1374,187,361,97,125,244
16-03-20,4551,4959,11874,3322,12406,1687,1421,2424,187,3529,14737,10323,21923,433,9527,11714,11623,3869,13300,345,3955,2983,1097,3921,6363,124,123,1372,180,322,107,126,240
17-03-20,4904,5652,11777,3433,12791,1758,1558,2061,202,3821,15714,10359,23607,495,9967,11929,13258,4087,15565,392,3870,3068,1303,4044,7250,128,120,1460,166,321,100,136,251
18-03-20,4945,5813,12291,3420,13608,1778,1511,1979,196,3989,16447,10461,24012,552,9980,12051,12854,4068,15481,396,4030,3086,1306,4006,7352,128,118,1456,164,324,98,134,248
19-03-20,5083,5918,12205,3439,13962,1770,1550,2358,202,3860,16193,10454,22771,507,10207,12548,12890,4182,15538,399,4153,2998,1281,3988,7288,129,121,1428,189,317,99,123,244
20-03-20,5080,5791,12151,3413,13911,1697,1513,2139,188,3843,16511,10359,22807,479,10201,12408,12497,4116,15591,386,4248,2994,1200,3939,7143,101,123,1466,186,317,98,118,241
21-03-20,4985,5856,12017,3451,14592,1764,1502,2393,183,3864,16538,9946,22672,497,9896,11708,12885,4074,15304,394,4102,3275,1212,3688,7282,102,123,1417,187,325,97,110,240
22-03-20,5222,5698,10895,3215,15116,1712,1434,2434,166,3848,16816,9846,22272,478,9810,11541,12039,3738,14695,385,3822,2952,1201,3463,6734,102,121,1408,186,357,101,124,239
23-03-20,3995,5064,10077,2282,13391,1131,954,2067,143,3505,13564,9290,17909,365,8514,10290,11011,3628,12233,327,3942,2726,1256,3408,5587,82,118,1160,190,320,99,124,216
24-03-20,3965,4583,9610,2448,14232,1212,1305,2240,157,3485,13513,9595,19288,355,9317,11204,12348,3557,13642,348,3999,2742,1266,4430,5798,113,121,1296,189,378,106,128,229
25-03-20,3521,4668,9839,2379,12751,1128,967,2057,136,3508,12222,9455,18693,364,8784,10379,12348,3600,12833,270,3822,1906,1293,3940,5743,110,110,1273,186,311,94,120,230
26-03-20,3377,4155,9439,2419,13813,1066,927,2181,149,3222,10970,9001,17559,328,8220,10478,10893,3362,11144,209,3975,1762,1275,4007,5799,103,108,1226,177,297,89,117,232
27-03-20,3399,3959,7330,2273,13913,1033,775,2085,140,3244,10468,7593,15472,340,8217,10019,10713,3521,11124,213,4161,1728,1250,3988,5999,99,110,1250,173,289,93,105,252
28-03-20,2973,3781,5599,2425,11359,1044,895,2161,149,3134,8962,6065,15819,343,8095,9953,10907,3546,10791,207,4222,1625,1209,3929,6036,95,107,1337,176,277,94,113,249
29-03-20,3084,3668,7394,2241,13385,1004,825,2151,139,3086,9379,7916,16291,350,8244,10036,10500,3569,10982,208,4050,1616,1263,3576,6209,86,114,1296,178,246,92,117,247
30-03-20,3084,3668,7394,2241,13385,1004,825,2151,139,3086,9379,7916,16291,350,8244,10036,10500,3569,10982,208,4050,1616,1263,3576,6209,86,114,1296,178,246,92,117,247
31-03-20,3131,3793,8044,2302,13613,1041,827,1933,140,3160,9882,8432,16245,347,8296,10012,11257,3771,11324,207,4062,1685,1243,3703,6545,97,110,1318,189,256,95,123,240
01-04-20,3131,3793,8044,2302,13613,1041,827,1933,140,3160,9882,8432,16245,347,8296,10012,11257,3771,11324,207,4062,1685,1243,3703,6545,97,110,1318,189,256,95,123,240
02-04-20,3228,3635,7996,2413,13959,1140,871,2165,154,3273,10148,8495,16238,357,8321,9662,11227,3727,11498,216,4125,1569,1284,3535,6761,90,112,1307,191,233,94,123,242
03-04-20,3393,3867,8252,2294,14468,1061,791,2166,135,3248,10525,8777,17046,362,8479,10014,11516,3765,11364,221,4311,1485,1277,3494,6657,85,108,1193,149,232,88,115,201
04-04-20,3460,3725,8212,2239,14512,1087,900,2113,138,3242,10411,8637,17388,355,8424,9230,11435,3787,11168,218,4218,1472,1289,3297,6791,100,108,1297,175,245,89,112,211
05-04-20,3602,3895,8169,2139,14319,1030,807,2155,133,3097,10665,8983,17361,356,8222,9039,11400,3785,11075,227,3868,1522,1335,3362,6874,95,112,1272,181,240,95,119,231
06-04-20,3628,4042,8164,2196,14682,1005,816,2035,131,3115,10655,8605,17456,370,8595,8665,10603,3335,11115,239,4233,1435,1309,3375,6576,93,108,1289,183,239,95,117,243
07-04-20,3338,3905,7934,2193,15022,1063,817,2203,131,3146,10859,8694,17458,362,8312,8231,10218,3270,10627,240,4335,1480,1192,3176,6878,96,101,1253,175,236,86,104,260
08-04-20,3670,3926,7941,2193,14601,1080,857,2137,125,3070,10784,8771,17285,353,8095,8358,9461,3270,10518,246,4368,1460,1010,2859,6736,87,100,1292,180,243,78,122,243
09-04-20,3670,3926,7941,2193,14601,1080,857,2137,125,3070,10784,8771,17285,353,8095,8358,9461,3270,10518,246,4368,1460,1010,2859,6736,87,100,1292,180,243,78,122,243
10-04-20,3732,4089,8106,2226,14745,1035,815,2016,126,3235,10779,8770,17642,353,6391,8042,9800,3304,10362,221,4405,1553,1273,3111,6425,85,85,1281,191,248,104,101,256
11-04-20,3714,4259,8074,2300,14831,1068,843,2209,128,3157,10940,8777,17477,308,6831,7863,9266,3381,9993,221,4457,1446,1247,3257,6770,99,95,1050,166,254,87,108,265
12-04-20,4003,4538,8272,2384,15326,1077,803,2229,129,3324,11010,8876,17647,361,7345,8064,9856,3558,10046,239,4520,1461,1230,3475,6663,88,103,1092,174,226,105,109,240
13-04-20,3856,4751,8438,2719,15972,1122,792,1949,138,3314,11417,8966,17822,382,7724,7751,10380,3743,10669,243,4642,1487,1254,3515,6902,97,115,1330,179,260,95,119,251
14-04-20,4301,5171,8600,3007,16158,1072,742,2105,146,3281,11714,8952,17546,385,7862,7737,10877,3712,10644,246,4687,1490,1174,3502,7177,93,116,1406,185,260,98,121,265
15-04-20,4101,5302,8665,2997,16514,1114,772,2037,154,3210,11823,8979,17642,392,8025,7374,10997,3588,10738,255,4376,1510,1174,3477,7043,102,55,977,121,217,66,85,197
16-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-04-20,4540,5387,8760,3160,16785,1194,779,2040,150,3346,11754,8782,18049,393,8204,7458,11337,3523,11051,261,4553,1498,1277,3698,6181,91,71,1210,158,260,84,117,255
18-04-20,4346,4923,8509,3114,15817,1163,826,1841,143,3473,12051,8958,18077,399,8400,7497,11398,3658,11291,273,4530,1495,1238,3667,6261,92,72,1150,168,267,85,116,227
19-04-20,4041,4838,8542,3082,15784,1110,724,2167,125,3357,11765,8574,18229,395,8332,7274,10635,3645,11332,278,4828,1550,1300,3561,6348,90,91,1051,147,250,70,104,218
20-04-20,3897,4822,7054,2935,14244,1098,825,2093,130,3263,12047,8672,17949,458,8455,6978,10204,3730,10842,286,4410,1527,1288,3706,6263,91,86,1201,177,259,76,116,232
21-04-20,4002,5052,8281,2729,15598,1199,831,1946,127,3207,11967,8810,17686,415,8416,6715,10370,3609,10871,290,4051,1491,1103,3468,4740,102,59,870,186,240,78,85,237
22-04-20,4230,5331,8441,2876,15897,1191,846,2215,137,3216,12210,8887,18222,406,8387,6830,10374,3567,11365,290,4312,1460,1450,3369,5472,106,105,1218,156,254,86,112,212
23-04-20,4472,5147,8130,2853,15342,1184,816,2247,140,3242,12575,8892,18449,434,8484,6802,10203,3584,11219,287,4173,1566,1122,2610,4300,109,103,1102,163,251,92,112,218
24-04-20,4472,5147,8130,2853,15342,1184,816,2247,140,3242,12575,8892,18449,434,8484,6802,10203,3584,11219,287,4173,1566,1122,2610,4300,109,103,1102,163,251,92,112,218
25-04-20,4747,5569,8507,3048,16889,1233,842,2243,145,3162,12498,8756,18664,455,8410,7240,9664,3511,11172,291,4235,1638,1263,2775,4843,110,103,1144,184,259,85,116,202
26-04-20,4969,5769,8174,3094,15446,1183,837,2080,139,3085,12390,8655,18205,446,8165,6713,10050,3729,11134,285,4158,1563,1235,2914,5591,108,106,1159,178,275,92,118,208
27-04-20,4534,5280,8269,3072,13209,968,785,2190,137,2946,12557,8528,17969,417,7579,6576,10240,2996,10030,253,3949,1509,1224,2944,5153,88,110,1201,157,251,98,121,194
28-04-20,4661,5688,8431,2947,13956,1113,841,2163,138,2966,13114,8355,18629,469,7649,6469,10301,3416,10205,278,3893,1499,1214,3682,4758,105,106,1270,163,263,95,119,213
29-04-20,4725,6206,9060,3174,15968,1129,892,2120,147,3006,13071,8537,18392,472,6866,6003,9176,3444,10014,286,4452,1923,1291,3207,5443,113,104,1215,181,221,93,114,255
30-04-20,5277,6382,9138,3309,15866,1074,885,2190,151,3092,13508,8825,18381,465,7191,6678,9758,3338,10358,283,4550,1618,1221,3493,5690,107,89,1338,180,263,86,108,234
01-05-20,5277,6382,9138,3309,15866,1074,885,2190,151,3092,13508,8825,18381,465,7191,6678,9758,3338,10358,283,4550,1618,1221,3493,5690,107,89,1338,180,263,86,108,234
02-05-20,5473,6729,9581,3461,15462,1150,879,2075,161,3104,13173,8504,17934,428,7537,6253,9347,3517,10621,291,4227,1687,1125,3322,5152,77,91,1393,184,246,86,114,244
03-05-20,5555,6452,9878,3471,16399,1127,905,2117,158,3262,13474,8826,18238,455,7838,6373,9737,3509,10812,310,4325,1729,1280,3481,5156,103,102,1437,165,250,90,114,208
04-05-20,4539,5277,10025,3454,14269,1089,864,2063,148,3245,13135,9014,18434,450,8260,6579,9451,3475,11294,301,4581,1869,1388,3918,5999,81,106,1342,170,247,89,118,231
05-05-20,5024,5502,8698,3398,14212,1190,978,2065,156,3162,13772,9014,19380,477,8533,7063,10165,3290,11927,332,4268,2123,1291,3919,6193,104,60,1143,180,260,96,118,245
06-05-20,4805,5288,8631,3382,15708,1193,1047,2048,154,3092,13564,8302,19553,475,8702,6923,10434,3112,12317,350,4510,2085,1254,3543,6059,97,96,1381,182,279,93,110,225
07-05-20,5070,5726,9071,3388,15278,1230,1022,2091,157,3203,13873,8747,19480,489,8762,6823,10435,3451,12289,347,4190,2051,1196,3542,5620,89,104,1439,185,282,96,113,265
08-05-20,5070,5726,9071,3388,15278,1230,1022,2091,157,3203,13873,8747,19480,489,8762,6823,10435,3451,12289,347,4190,2051,1196,3542,5620,89,104,1439,185,282,96,113,265
09-05-20,5645,6078,9694,3745,16638,1268,1016,2346,164,3135,13969,8928,19514,481,8884,6864,10162,3514,12834,354,4525,2227,1296,3613,6100,105,107,1397,186,293,93,114,268
10-05-20,6080,6281,10463,4038,16776,1307,1011,2185,172,2953,13871,9038,19637,473,9123,7278,10437,3523,12744,362,4620,2204,1195,3822,7053,109,108,1534,188,278,96,112,275
11-05-20,5278,5851,10471,4029,15591,1221,841,2226,150,3027,13813,8847,18795,442,8750,6080,9768,3408,12538,361,4975,2167,1085,3628,6830,83,104,1568,171,276,93,107,274
12-05-20,5477,5589,9989,3558,14496,1177,1070,1996,156,3284,14064,8718,18559,497,9100,6626,10048,3455,13387,372,4634,2246,1226,3830,7237,103,101,1562,174,295,93,116,290
13-05-20,5608,5728,9744,3747,15474,1279,1098,2134,153,3230,14088,8937,19518,469,8890,6731,10277,3443,12728,331,5132,2263,1267,3871,6713,93,103,1507,173,292,89,141,287
14-05-20,5804,5549,10203,3648,16523,1348,1100,2044,158,3406,14107,9110,19540,482,8620,7253,10895,3443,13350,369,5071,2270,1186,3923,6681,98,92,1390,153,303,89,118,278
15-05-20,5835,6086,10403,3667,17731,1372,1168,2189,164,3360,14125,9007,18793,484,9071,7403,10999,3266,13419,360,5243,2389,1399,3811,7196,96,109,1498,186,309,95,121,238
16-05-20,6114,6305,10525,3848,18278,1462,1160,2132,166,3314,14247,9105,18534,460,9506,7258,10423,3570,13159,348,5086,2423,1339,3812,7045,75,106,1353,181,323,98,118,259
17-05-20,6114,6305,10525,3848,18278,1462,1160,2132,166,3314,14247,9105,18534,460,9506,7258,10423,3570,13159,348,5086,2423,1339,3812,7045,75,106,1353,181,323,98,118,259
18-05-20,6716,6287,10743,3968,18964,1339,1031,2192,172,3377,13469,9109,18308,465,9055,6587,9845,2860,11886,335,5265,2437,1369,3850,7730,83,110,1469,181,279,98,118,274
19-05-20,6982,6628,10637,4079,18274,1428,1172,2189,182,3291,14322,9259,19178,466,8618,7266,8992,3040,12418,331,5378,2465,1470,4027,7915,94,105,1645,190,292,90,128,302
20-05-20,6777,6599,11078,4096,19496,1462,1160,2109,185,3330,14242,9311,19004,478,7789,7126,8794,3227,12801,363,5290,2425,1448,3794,7748,94,106,1683,179,303,83,128,271
21-05-20,6841,6697,11017,4216,18936,1477,1185,2225,194,3301,14335,9317,19273,505,8890,7627,9836,3483,12927,365,5193,2404,1280,3002,5895,86,100,1542,176,298,95,119,226
22-05-20,8260,7386,11079,4884,20290,1614,1256,2192,223,3437,14992,9647,20398,499,10060,8499,10385,3536,13871,390,4955,2444,1312,3799,4759,91,105,1334,181,355,95,110,275
23-05-20,7816,7460,11219,5003,21082,1607,1258,2050,234,3612,14698,9727,20343,494,10029,7797,10430,3524,13896,379,5281,2521,1465,4176,5620,92,80,1415,184,304,90,122,282
24-05-20,7543,7356,11595,5219,20899,1539,1086,2167,250,3614,14550,9762,20237,475,9870,7969,9484,3576,12841,365,5335,2567,1472,4021,5640,76,107,1247,182,264,98,119,278
25-05-20,7543,7356,11595,5219,20899,1539,1086,2167,250,3614,14550,9762,20237,475,9870,7969,9484,3576,12841,365,5335,2567,1472,4021,5640,76,107,1247,182,264,98,119,278
26-05-20,7833,7883,11967,5331,21331,1635,1224,2200,261,3670,14932,9906,20959,493,9955,8428,10464,3643,13685,383,5308,2572,1425,4025,5673,84,103,1130,179,268,93,113,273
27-05-20,8097,7952,11749,5421,20582,1702,1242,2099,284,3733,15524,10038,21122,492,10071,8550,9671,3658,14343,410,5134,2625,1427,4154,6093,88,92,910,180,269,85,96,259
